Time (s)	Frequency Intensity
11.00	8084.87
11.03	7985.74
11.07	7865.80
11.10	7850.83
11.13	7860.40
11.17	7858.14
11.20	7817.54
11.23	7728.74
11.27	7684.26
11.30	7387.88
11.33	7385.10
11.37	7427.37
11.40	7351.52
11.43	7296.31
11.47	7239.64
11.50	6980.24
11.53	6974.34
11.57	7057.78
11.60	7037.18
11.63	7015.34
11.67	8056.61
11.70	7399.17
11.73	6889.05
11.77	6926.76
11.80	6896.17
11.83	6742.14
11.87	6714.11
11.90	6568.76
11.93	6463.60
11.97	6402.44
12.00	6447.25
12.03	6464.93
12.07	6415.94
12.10	6328.36
12.13	6169.98
12.17	6034.94
12.20	6073.64
12.23	6138.50
12.27	6142.68
12.30	6043.72
12.33	6026.65
12.37	5945.34
12.40	5924.31
12.43	5941.03
12.47	5962.76
12.50	7252.51
12.53	6462.56
12.57	6078.95
12.60	5983.01
12.63	5874.60
12.67	5784.60
12.70	5895.68
12.73	5828.45
12.77	5748.29
12.80	5765.17
12.83	5820.12
12.87	5824.25
12.90	5741.80
12.93	5875.69
12.97	5853.44
13.00	5765.17
13.03	5859.07
13.07	5867.02
13.10	5916.52
13.13	5895.39
13.17	6002.11
13.20	5946.12
13.23	5933.03
13.27	6013.47
13.30	6062.52
13.33	6823.80
13.37	6261.13
13.40	6123.10
13.43	5952.78
13.47	5827.81
13.50	5913.44
13.53	5826.08
13.57	5841.49
13.60	5792.92
13.63	5894.58
13.67	5870.69
13.70	5842.01
13.73	5890.70
13.77	5872.60
13.80	5858.50
13.83	5779.06
13.87	5892.25
13.90	5803.54
13.93	5800.59
13.97	5832.53
14.00	5860.28
14.03	5872.20
14.07	5810.68
14.10	5959.13
14.13	5933.49
14.17	6966.44
14.20	6487.85
14.23	6309.27
14.27	6185.03
14.30	6064.24
14.33	6147.77
14.37	6087.49
14.40	6026.91
14.43	6036.90
14.47	6069.43
14.50	6045.96
14.53	6030.63
14.57	6089.89
14.60	6066.22
14.63	5983.47
14.67	6041.42
14.70	6017.42
14.73	5979.08
14.77	5965.45
14.80	6052.90
14.83	5975.84
14.87	5957.72
14.90	5978.22
14.93	5968.37
14.97	5990.73
15.00	6812.48
15.03	6417.37
15.07	6171.67
15.10	6041.81
15.13	5926.34
15.17	5967.41
